"Você notou alguma luz do seu carro que não está funcionando corretamente, como faróis, lanternas ou luzes de freio?","Seu carro está apresentando algum problema de intermitência nas luzes, onde elas piscam ou desligam e ligam aleatoriamente?","Você percebeu alguma mudança na intensidade das luzes do seu carro, como ficarem mais fracas do que o normal?","O seu carro está apresentando algum problema com o ajuste automático dos faróis, onde eles não se ajustam corretamente de acordo com as condições de luminosidade?",Já foi feita a verificação dos fusíveis relacionados ao sistema de iluminação do seu carro para garantir que não estejam queimados?,"O seu carro está apresentando algum problema com o ajuste automático dos faróis, onde eles não se ajustam corretamente de acordo com as condições de luminosidade?","Seu carro está apresentando algum problema com o sistema de luzes de sinalização, como setas que não piscam ou piscam rapidamente?","Seu carro está apresentando algum problema de intermitência nas luzes, onde elas piscam ou desligam e ligam aleatoriamente?","O seu carro está tendo problemas intermitentes de partida, onde às vezes liga normalmente e às vezes não?",Seu carro está apresentando algum problema de partida após a substituição recente da bateria ou do alternador?,"Você notou algum som incomum vindo da área do motor de arranque ao tentar ligar o carro, como um 'grunhido' ou 'gemido'?",Você percebeu alguma falha na partida do seu carro após uma chuva intensa ou dirigir em condições de alta umidade?,Já foi feita a verificação da correia do alternador do seu carro para garantir que não esteja desgastada ou frouxa?,"O seu carro está apresentando algum ruído anormal vindo da área do alternador, como um chiado ou um zumbido?",Seu carro está apresentando algum problema de carga da bateria após a substituição recente da bateria?,"Seu carro está apresentando alguma luz de advertência no painel, como a luz de bateria ou luz de carga da bateria?",Já foi feita a verificação da correia do alternador do seu carro para garantir que não esteja desgastada ou frouxa?,"O seu carro está apresentando algum ruído anormal vindo da área do alternador, como um chiado ou um zumbido?",Seu carro está apresentando algum problema de carga da bateria após a substituição recente da bateria?,"Seu carro está apresentando alguma luz de advertência no painel, como a luz de bateria ou luz de carga da bateria?",Houve algum vazamento de óleo embaixo do seu carro? É importante verificar se há sinais de vazamentos no motor.,Já foi feita a manutenção da correia dentada ou corrente de distribuição do seu carro dentro do prazo recomendado pelo fabricante?,O seu carro tem apresentado problemas de desempenho ou consumo excessivo de combustível? Isso poderia estar relacionado a problemas nos sensores do motor.,Seu carro está apresentando falhas de partida ou dificuldades para manter o funcionamento do motor? Isso pode ser um problema no sistema de injeção de combustível.,"Já foi feita a manutenção regular da transmissão, como troca de fluido e filtro, dentro do prazo recomendado pelo fabricante?","Já ocorreu algum incidente recente que possa ter afetado a transmissão do seu carro, como dirigir em condições severas ou rebocar cargas pesadas?","Seu carro está apresentando problemas de deslocamento automático da transmissão, onde não muda para a próxima marcha conforme o esperado?","Seu carro está emitindo sons estranhos ao mudar de marcha, como cliques, batidas ou rangidos?",O seu carro está inclinando mais do que o habitual em curvas ou ao fazer mudanças de direção?,"Você percebeu alguma vibração excessiva no volante ou na carroceria do seu carro, especialmente em altas velocidades?","Você já notou algum desgaste irregular nos pneus do seu carro, como áreas lisas ou desgaste excessivo em uma borda?",O seu carro está inclinando mais do que o habitual em curvas ou ao fazer mudanças de direção?,Já foi feita a verificação do nível de fluido de freio do seu carro para garantir que esteja dentro dos limites adequados?,O pedal de freio do seu carro está ficando mais duro ou mais mole do que o normal ao pressioná-lo?,"Seu carro está apresentando algum problema de frenagem após a substituição recente de peças de freio, como pastilhas ou discos?","Você percebeu alguma mudança no comportamento dos freios do seu carro após dirigir em condições extremas, como em estradas alagadas ou em montanhas?",Local do Problema,Tipo do Problema
Não tenho certeza,Sim,Não tenho certeza,Às vezes,Não,Às vezes,Não tenho certeza,Não tenho certeza,Sim,Às vezes,Não tenho certeza,Às vezes,Sim,Às vezes,Não,Sim,Sim,Não tenho certeza,Às vezes,Sim,Sim,Sim,Às vezes,Sim,Sim,Às vezes,Não tenho certeza,Sim,Sim,Às vezes,Às vezes,Não,Às vezes,Às vezes,Não tenho certeza,Não tenho certeza,Sistema de Iluminação,Mecânico
Não tenho certeza,Às vezes,Sim,Às vezes,Às vezes,Sim,Às vezes,Às vezes,Às vezes,Sim,Sim,Às vezes,Sim,Não tenho certeza,Não,Às vezes,Não,Às vezes,Não tenho certeza,Não tenho certeza,Sim,Sim,Não,Não tenho certeza,Não tenho certeza,Às vezes,Às vezes,Às vezes,Não,Não tenho certeza,Às vezes,Não,Não,Não tenho certeza,Às vezes,Não tenho certeza,Motor,Mecânico
Não tenho certeza,Não tenho certeza,Sim,Não,Às vezes,Sim,Não,Às vezes,Sim,Não,Não tenho certeza,Às vezes,Sim,Não tenho certeza,Às vezes,Não tenho certeza,Às vezes,Não,Sim,Não tenho certeza,Não tenho certeza,Às vezes,Às vezes,Às vezes,Sim,Às vezes,Não tenho certeza,Às vezes,Às vezes,Sim,Sim,Não tenho certeza,Não tenho certeza,Não,Não tenho certeza,Não,Suspensão,Elétrico
Sim,Não tenho certeza,Não tenho certeza,Sim,Não,Sim,Sim,Às vezes,Sim,Às vezes,Às vezes,Não,Sim,Não tenho certeza,Não,Às vezes,Sim,Sim,Sim,Sim,Às vezes,Às vezes,Não,Às vezes,Não tenho certeza,Às vezes,Não tenho certeza,Não tenho certeza,Às vezes,Às vezes,Não,Não,Não,Não tenho certeza,Sim,Não,Motor,Elétrico
Não tenho certeza,Às vezes,Sim,Não tenho certeza,Sim,Não,Sim,Não,Sim,Não tenho certeza,Não tenho certeza,Não,Não,Às vezes,Não tenho certeza,Não,Sim,Às vezes,Não,Às vezes,Não tenho certeza,Não tenho certeza,Não tenho certeza,Sim,Sim,Não,Às vezes,Não,Não,Às vezes,Sim,Não tenho certeza,Às vezes,Não tenho certeza,Não,Não,Motor,Elétrico
Não tenho certeza,Não,Não tenho certeza,Não tenho certeza,Às vezes,Não,Sim,Não,Às vezes,Às vezes,Sim,Não,Não,Sim,Sim,Não tenho certeza,Não,Sim,Sim,Às vezes,Não tenho certeza,Às vezes,Às vezes,Às vezes,Sim,Sim,Não tenho certeza,Sim,Sim,Não tenho certeza,Às vezes,Não tenho certeza,Não tenho certeza,Não tenho certeza,Não tenho certeza,Não tenho certeza,Sistema de Iluminação,Elétrico
Sim,Sim,Sim,Às vezes,Não,Não,Não,Não,Não tenho certeza,Sim,Sim,Não tenho certeza,Às vezes,Sim,Às vezes,Sim,Às vezes,Não,Não tenho certeza,Não,Às vezes,Não tenho certeza,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Às vezes,Não,Às vezes,Não,Motor,Mecânico
Não tenho certeza,Não tenho certeza,Não,Não tenho certeza,Não,Às vezes,Não tenho certeza,Sim,Não,Não,Sim,Não tenho certeza,Não tenho certeza,Sim,Às vezes,Não,Sim,Não,Às vezes,Não tenho certeza,Sim,Não tenho certeza,Não,Não tenho certeza,Não,Sim,Sim,Não,Não tenho certeza,Não tenho certeza,Não,Sim,Não tenho certeza,Às vezes,Não tenho certeza,Não,Alternador,Elétrico
Sim,Sim,Às vezes,Não,Não,Não,Às vezes,Não tenho certeza,Não,Sim,Não,Sim,Não tenho certeza,Sim,Sim,Não,Não,Sim,Não tenho certeza,Não tenho certeza,Não,Não,Não tenho certeza,Não tenho certeza,Às vezes,Às vezes,Sim,Não,Não tenho certeza,Não tenho certeza,Não tenho certeza,Sim,Não,Às vezes,Não,Às vezes,Suspensão,Mecânico
Sim,Não tenho certeza,Sim,Não,Não,Sim,Não,Às vezes,Sim,Às vezes,Às vezes,Não tenho certeza,Não,Às vezes,Não,Às vezes,Não,Não,Não tenho certeza,Sim,Não,Não tenho certeza,Às vezes,Não tenho certeza,Não,Às vezes,Às vezes,Sim,Sim,Sim,Às vezes,Às vezes,Às vezes,Não,Às vezes,Às vezes,Sistema de Iluminação,Mecânico
Não,Não,Sim,Sim,Sim,Sim,Não tenho certeza,Sim,Sim,Sim,Não tenho certeza,Não tenho certeza,Não,Não,Não,Sim,Não tenho certeza,Não tenho certeza,Não tenho certeza,Não tenho certeza,Às vezes,Sim,Não,Sim,Às vezes,Às vezes,Não,Sim,Às vezes,Às vezes,Não tenho certeza,Não tenho certeza,Sim,Às vezes,Às vezes,Às vezes,Transmissão,Elétrico
Não tenho certeza,Às vezes,Às vezes,Às vezes,Sim,Às vezes,Às vezes,Não,Às vezes,Sim,Às vezes,Às vezes,Às vezes,Às vezes,Sim,Não,Às vezes,Não tenho certeza,Sim,Sim,Às vezes,Às vezes,Sim,Não tenho certeza,Às vezes,Não tenho certeza,Não tenho certeza,Às vezes,Sim,Não tenho certeza,Não,Não,Às vezes,Não tenho certeza,Não,Não,Motor,Mecânico
Não,Não,Sim,Não tenho certeza,Não tenho certeza,Sim,Não,Às vezes,Não,Sim,Não,Não tenho certeza,Sim,Não,Sim,Sim,Não tenho certeza,Às vezes,Às vezes,Não tenho certeza,Sim,Sim,Sim,Não tenho certeza,Sim,Não,Sim,Às vezes,Às vezes,Sim,Não,Não,Não,Sim,Não tenho certeza,Não,Suspensão,Mecânico
Não,Não tenho certeza,Não,Não,Às vezes,Às vezes,Não,Às vezes,Às vezes,Sim,Às vezes,Às vezes,Às vezes,Às vezes,Não tenho certeza,Não,Sim,Às vezes,Sim,Às vezes,Não,Às vezes,Às vezes,Não tenho certeza,Sim,Sim,Não tenho certeza,Não tenho certeza,Sim,Não tenho certeza,Às vezes,Sim,Sim,Às vezes,Não tenho certeza,Não,Alternador,Mecânico
Às vezes,Não,Às vezes,Sim,Sim,Não,Não tenho certeza,Sim,Não tenho certeza,Não,Às vezes,Às vezes,Não tenho certeza,Sim,Às vezes,Não tenho certeza,Sim,Às vezes,Não,Não,Às vezes,Não tenho certeza,Não,Não tenho certeza,Às vezes,Não tenho certeza,Não tenho certeza,Às vezes,Não tenho certeza,Não tenho certeza,Sim,Não,Não,Às vezes,Às vezes,Às vezes,Motor de Arranque,Mecânico
Sim,Sim,Não,Não tenho certeza,Não,Às vezes,Não,Não,Às vezes,Sim,Não tenho certeza,Às vezes,Não,Não,Não tenho certeza,Sim,Não,Não tenho certeza,Não,Não tenho certeza,Às vezes,Não,Não,Às vezes,Não,Não tenho certeza,Não,Sim,Sim,Sim,Às vezes,Não,Não tenho certeza,Não,Não tenho certeza,Às vezes,Sistema de Iluminação,Elétrico
Não tenho certeza,Às vezes,Não,Não,Não tenho certeza,Sim,Não,Não,Não,Sim,Às vezes,Não tenho certeza,Não tenho certeza,Às vezes,Não,Não tenho certeza,Não tenho certeza,Não,Sim,Sim,Não tenho certeza,Não tenho certeza,Não,Não tenho certeza,Às vezes,Não tenho certeza,Não tenho certeza,Não tenho certeza,Às vezes,Não,Sim,Às vezes,Sim,Não tenho certeza,Às vezes,Não tenho certeza,Motor,Elétrico
Não tenho certeza,Não tenho certeza,Às vezes,Sim,Sim,Não tenho certeza,Às vezes,Não tenho certeza,Sim,Não,Não,Às vezes,Sim,Não,Não tenho certeza,Não,Sim,Sim,Às vezes,Não tenho certeza,Não tenho certeza,Às vezes,Às vezes,Não tenho certeza,Sim,Não,Às vezes,Não tenho certeza,Não tenho certeza,Sim,Às vezes,Sim,Às vezes,Sim,Não tenho certeza,Às vezes,Transmissão,Elétrico
Não,Sim,Às vezes,Às vezes,Às vezes,Não tenho certeza,Às vezes,Não tenho certeza,Sim,Às vezes,Não tenho certeza,Não,Sim,Às vezes,Sim,Sim,Não,Às vezes,Sim,Sim,Sim,Não tenho certeza,Às vezes,Sim,Sim,Não tenho certeza,Não,Não tenho certeza,Não,Sim,Não tenho certeza,Não,Não tenho certeza,Às vezes,Às vezes,Sim,Alternador,Mecânico
Não,Não tenho certeza,Não,Não tenho certeza,Sim,Sim,Não,Às vezes,Não,Às vezes,Às vezes,Não,Sim,Às vezes,Sim,Às vezes,Às vezes,Não,Não tenho certeza,Não tenho certeza,Às vezes,Às vezes,Não tenho certeza,Às vezes,Não tenho certeza,Sim,Não tenho certeza,Às vezes,Às vezes,Não tenho certeza,Não,Às vezes,Não,Às vezes,Não tenho certeza,Sim,Sistema de Iluminação,Elétrico
Não tenho certeza,Não,Às vezes,Não tenho certeza,Sim,Não,Às vezes,Não,Não,Não tenho certeza,Às vezes,Sim,Não,Às vezes,Não,Não,Sim,Não,Às vezes,Não,Não,Às vezes,Às vezes,Não tenho certeza,Não,Não,Às vezes,Não tenho certeza,Não tenho certeza,Não tenho certeza,Sim,Não tenho certeza,Às vezes,Às vezes,Sim,Às vezes,Sistema de Iluminação,Mecânico
Às vezes,Não tenho certeza,Às vezes,Às vezes,Não,Não,Sim,Não,Não,Sim,Sim,Sim,Não,Sim,Às vezes,Às vezes,Não tenho certeza,Sim,Não,Não,Sim,Sim,Não,Não tenho certeza,Não,Não,Sim,Às vezes,Não tenho certeza,Não tenho certeza,Às vezes,Sim,Às vezes,Não tenho certeza,Não,Sim,Alternador,Mecânico
Às vezes,Às vezes,Não tenho certeza,Sim,Não tenho certeza,Às vezes,Às vezes,Sim,Não tenho certeza,Sim,Sim,Sim,Não tenho certeza,Não,Às vezes,Às vezes,Sim,Não,Não tenho certeza,Não,Não,Às vezes,Não tenho certeza,Sim,Não,Sim,Às vezes,Às vezes,Não tenho certeza,Não tenho certeza,Não,Sim,Não,Às vezes,Não tenho certeza,Não tenho certeza,Sistema de Iluminação,Mecânico
Não tenho certeza,Não,Não tenho certeza,Sim,Não tenho certeza,Não tenho certeza,Não,Não,Às vezes,Às vezes,Não tenho certeza,Não tenho certeza,Às vezes,Não,Sim,Não,Às vezes,Sim,Não,Não tenho certeza,Às vezes,Não,Sim,Não tenho certeza,Às vezes,Não tenho certeza,Não tenho certeza,Às vezes,Não tenho certeza,Não tenho certeza,Sim,Sim,Sim,Não tenho certeza,Sim,Não tenho certeza,Alternador,Mecânico
Às vezes,Sim,Às vezes,Sim,Não tenho certeza,Não,Às vezes,Não,Sim,Não,Às vezes,Não,Não,Não tenho certeza,Às vezes,Não tenho certeza,Não,Sim,Não tenho certeza,Sim,Sim,Não tenho certeza,Às vezes,Às vezes,Sim,Às vezes,Não tenho certeza,Não,Não tenho certeza,Sim,Não,Sim,Não tenho certeza,Não,Não,Não tenho certeza,Freios,Elétrico
Às vezes,Não tenho certeza,Sim,Não tenho certeza,Às vezes,Não,Sim,Não tenho certeza,Não,Às vezes,Sim,Sim,Não,Não,Às vezes,Não,Não tenho certeza,Às vezes,Não tenho certeza,Não tenho certeza,Às vezes,Não,Às vezes,Às vezes,Não,Às vezes,Não,Não tenho certeza,Sim,Não tenho certeza,Sim,Não tenho certeza,Não tenho certeza,Sim,Não,Não tenho certeza,Alternador,Elétrico
Não tenho certeza,Não tenho certeza,Não tenho certeza,Às vezes,Não tenho certeza,Às vezes,Às vezes,Não,Às vezes,Sim,Não,Às vezes,Sim,Às vezes,Não tenho certeza,Às vezes,Às vezes,Não tenho certeza,Não tenho certeza,Às vezes,Sim,Não,Sim,Às vezes,Às vezes,Não,Não,Às vezes,Sim,Não,Não tenho certeza,Não,Às vezes,Não tenho certeza,Não,Às vezes,Alternador,Elétrico
Às vezes,Às vezes,Não,Às vezes,Não,Não tenho certeza,Não,Não,Não,Às vezes,Não tenho certeza,Não,Às vezes,Sim,Sim,Não,Não tenho certeza,Sim,Não,Não tenho certeza,Às vezes,Às vezes,Às vezes,Sim,Não,Não tenho certeza,Não,Sim,Às vezes,Não,Sim,Não tenho certeza,Não tenho certeza,Sim,Não tenho certeza,Não tenho certeza,Freios,Elétrico
Às vezes,Sim,Não,Às vezes,Sim,Não,Não tenho certeza,Não,Não tenho certeza,Não tenho certeza,Não,Não,Não tenho certeza,Não,Sim,Não,Não,Às vezes,Não tenho certeza,Não tenho certeza,Sim,Às vezes,Às vezes,Sim,Sim,Sim,Não,Às vezes,Às vezes,Às vezes,Não tenho certeza,Não,Não tenho certeza,Sim,Não,Sim,Motor,Mecânico
Às vezes,Às vezes,Não,Não tenho certeza,Às vezes,Não,Não,Às vezes,Não tenho certeza,Não tenho certeza,Não tenho certeza,Sim,Às vezes,Não tenho certeza,Sim,Não,Às vezes,Não,Às vezes,Não,Sim,Sim,Às vezes,Às vezes,Sim,Não tenho certeza,Não,Sim,Sim,Às vezes,Não,Não tenho certeza,Sim,Sim,Sim,Às vezes,Sistema de Iluminação,Elétrico
Não,Sim,Não tenho certeza,Não tenho certeza,Não,Sim,Às vezes,Não,Sim,Sim,Não tenho certeza,Não,Não tenho certeza,Não,Não tenho certeza,Não,Não tenho certeza,Não,Não tenho certeza,Não,Sim,Às vezes,Às vezes,Não tenho certeza,Não tenho certeza,Às vezes,Às vezes,Às vezes,Às vezes,Não,Não,Não,Não tenho certeza,Não,Não,Às vezes,Motor de Arranque,Mecânico
Não,Às vezes,Sim,Sim,Não,Sim,Às vezes,Não tenho certeza,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Sim,Não tenho certeza,Sim,Não tenho certeza,Sim,Sim,Não,Não,Não,Não tenho certeza,Sim,Às vezes,Às vezes,Não,Sim,Às vezes,Sim,Não tenho certeza,Às vezes,Sistema Elétrico Geral,Mecânico
Não tenho certeza,Não tenho certeza,Sim,Não,Não tenho certeza,Às vezes,Às vezes,Às vezes,Às vezes,Não,Às vezes,Não,Não tenho certeza,Não tenho certeza,Não tenho certeza,Não,Não,Não tenho certeza,Sim,Não,Às vezes,Não tenho certeza,Sim,Às vezes,Sim,Às vezes,Não tenho certeza,Às vezes,Sim,Sim,Não tenho certeza,Sim,Não,Sim,Não tenho certeza,Não tenho certeza,Motor de Arranque,Elétrico
Sim,Sim,Às vezes,Às vezes,Não tenho certeza,Às vezes,Às vezes,Não,Sim,Às vezes,Às vezes,Às vezes,Não tenho certeza,Sim,Às vezes,Não,Não,Não tenho certeza,Sim,Não tenho certeza,Sim,Sim,Sim,Sim,Não tenho certeza,Às vezes,Às vezes,Não,Não,Não,Sim,Sim,Não tenho certeza,Não,Não,Sim,Freios,Elétrico
Às vezes,Não tenho certeza,Sim,Não,Não tenho certeza,Sim,Não tenho certeza,Às vezes,Às vezes,Não tenho certeza,Não,Não,Às vezes,Não tenho certeza,Sim,Não tenho certeza,Às vezes,Às vezes,Sim,Não tenho certeza,Às vezes,Não tenho certeza,Não tenho certeza,Às vezes,Não,Não tenho certeza,Sim,Não,Às vezes,Não tenho certeza,Sim,Não tenho certeza,Não tenho certeza,Não tenho certeza,Sim,Sim,Sistema de Iluminação,Mecânico
Não,Não tenho certeza,Às vezes,Não,Não tenho certeza,Sim,Não tenho certeza,Não,Sim,Não,Sim,Não tenho certeza,Não,Não tenho certeza,Não,Não tenho certeza,Não tenho certeza,Sim,Às vezes,Às vezes,Não,Sim,Sim,Não tenho certeza,Não tenho certeza,Sim,Não tenho certeza,Não,Às vezes,Não tenho certeza,Às vezes,Não tenho certeza,Sim,Não,Às vezes,Às vezes,Alternador,Elétrico
Às vezes,Não tenho certeza,Às vezes,Às vezes,Sim,Não tenho certeza,Às vezes,Às vezes,Sim,Não tenho certeza,Sim,Não,Sim,Às vezes,Não tenho certeza,Não,Não,Às vezes,Sim,Não,Não,Às vezes,Sim,Não,Sim,Não tenho certeza,Sim,Sim,Sim,Não tenho certeza,Às vezes,Às vezes,Às vezes,Às vezes,Não,Não,Alternador,Mecânico
Às vezes,Não tenho certeza,Sim,Sim,Sim,Não,Não tenho certeza,Não,Sim,Sim,Não,Às vezes,Às vezes,Sim,Sim,Não tenho certeza,Sim,Sim,Não tenho certeza,Às vezes,Sim,Sim,Não tenho certeza,Sim,Às vezes,Não,Não tenho certeza,Não tenho certeza,Não tenho certeza,Às vezes,Não,Sim,Às vezes,Sim,Às vezes,Não tenho certeza,Suspensão,Mecânico
Não tenho certeza,Sim,Não,Não,Não tenho certeza,Não tenho certeza,Às vezes,Não tenho certeza,Sim,Não tenho certeza,Sim,Não,Não tenho certeza,Não,Às vezes,Não tenho certeza,Não tenho certeza,Sim,Sim,Às vezes,Não tenho certeza,Não,Não,Sim,Não,Sim,Não,Às vezes,Sim,Não,Sim,Não tenho certeza,Não tenho certeza,Não,Às vezes,Não,Sistema Elétrico Geral,Mecânico
Não,Não,Não tenho certeza,Às vezes,Às vezes,Às vezes,Não,Não,Não tenho certeza,Não tenho certeza,Às vezes,Não tenho certeza,Às vezes,Não,Às vezes,Não,Não,Não,Não tenho certeza,Sim,Sim,Não,Sim,Sim,Sim,Sim,Não tenho certeza,Sim,Não,Não,Às vezes,Às vezes,Sim,Às vezes,Não tenho certeza,Sim,Suspensão,Mecânico
Não tenho certeza,Não,Não tenho certeza,Não tenho certeza,Sim,Às vezes,Não,Não tenho certeza,Às vezes,Às vezes,Não tenho certeza,Não tenho certeza,Às vezes,Sim,Às vezes,Não,Não,Sim,Não,Não,Não,Às vezes,Não,Sim,Não,Às vezes,Não,Não,Às vezes,Às vezes,Sim,Sim,Não,Sim,Sim,Sim,Motor de Arranque,Mecânico
Sim,Às vezes,Não,Não,Não,Sim,Não tenho certeza,Sim,Às vezes,Não,Não tenho certeza,Não tenho certeza,Não,Às vezes,Não tenho certeza,Às vezes,Não tenho certeza,Não,Sim,Não,Sim,Não,Às vezes,Sim,Sim,Não tenho certeza,Não tenho certeza,Às vezes,Não,Não,Não,Não,Não tenho certeza,Não,Sim,Às vezes,Sistema de Iluminação,Mecânico
Não,Às vezes,Sim,Sim,Às vezes,Às vezes,Sim,Sim,Às vezes,Não,Não,Não tenho certeza,Às vezes,Sim,Sim,Às vezes,Não,Não tenho certeza,Não,Sim,Não tenho certeza,Às vezes,Às vezes,Sim,Não,Não tenho certeza,Não,Não,Às vezes,Às vezes,Às vezes,Não,Não tenho certeza,Não,Não tenho certeza,Não tenho certeza,Motor de Arranque,Elétrico
